Mid_Price,Reservation_Price,Bid,Ask,Position,PnL,Spread
76732.0085,76732.0085,76731.36311479945,76732.65388520055,0.0,0.0,1.2907704011013266
76732.0085,76732.0085,76730.07234440112,76733.94465559887,4.857e-05,0.00010338124411646277,3.872311197745148
76732.00850000003,76732.00850000003,76730.07446869134,76733.94253130871,4.857e-05,0.00010338124411646277,3.8680626173736528
76732.00850000003,76732.00850000003,76730.0765894886,76733.94041051145,4.857e-05,0.00010338124411646277,3.8638210228527896
76732.00850000003,76732.00850000003,76730.08293099946,76733.93406900059,4.857e-05,0.00010338124411646277,3.851138001133222
76732.00850000003,76732.00850000003,76730.08556412612,76733.93143587394,0.0006715299999999999,0.0014293515996541828,3.845871747820638
76732.0085,76732.0085,76730.07330584589,76733.9436941541,0.00344778,0.007338599723880179,3.8703883082198445
76732.00849999998,76732.00849999998,76730.07253231206,76733.9444676879,0.00344778,0.007338599723880179,3.8719353758497164
76732.0085,76732.0085,76730.07251440159,76733.9444855984,0.01344778,0.028623599719139747,3.8719711968151387
76732.00849999997,76732.00849999997,76730.07238327268,76733.94461672725,0.01389546,0.029576486587757245,3.872233454574598
76732.0085,76732.0085,76730.0723827851,76733.94461721489,0.01389546,0.029576486587757245,3.872234429785749
76732.0085,76732.0085,76730.07238264057,76733.94461735942,0.01389543,0.029576545741292648,3.872234718844993
76732.00849999998,76732.00849999998,76730.07238581899,76733.94461418097,0.01389537,0.029576664630440064,3.8722283619863447
76732.0085,76732.0085,76730.07239215689,76733.9446078431,0.01389535,0.02957670425530523,3.872215686220443
76732.0085,76732.0085,76730.0723942695,76733.94460573049,0.01389535,0.02957670425530523,3.872211460984545
76732.0085,76732.0085,76730.07239411735,76733.94460588264,0.01389535,0.02957670425530523,3.872211765294196
76732.00850000001,76732.00850000001,76730.07239200392,76733.9446079961,0.013895330000000001,0.029576743894722313,3.8722159921890125
76732.00850000001,76732.00850000001,76730.07239399051,76733.9446060095,0.013895230000000001,0.029576942048151977,3.872212018992286
76732.0085,76732.0085,76730.07240392415,76733.94459607585,0.013895160000000002,0.029577080757007934,3.8721921516989823
76732.00850000001,76732.00850000001,76730.07241089284,76733.94458910718,0.013895090000000002,0.02957721946586389,3.872178214340238
76732.2165,76732.2165,76730.28041784617,76734.15258215382,0.013894960000000003,0.03246762872731779,3.8721643076569308
76732.42199999999,76732.42199999999,76730.48593075978,76734.3580692402,0.013894940000000003,0.03532307437853888,3.8721384804230183
76732.6285,76732.6285,76730.6924327465,76734.56456725352,0.013894940000000003,0.038192379477550276,3.8721345070225652
76732.83499999999,76732.83499999999,76730.8989292735,76734.77107072648,0.013894940000000003,0.04106168459111359,3.872141452971846
76733.041,76733.041,76731.10492852794,76734.97707147205,0.013894740000000003,0.043924232028075494,3.8721429441065993
76733.2465,76733.2465,76731.3104473023,76735.18255269769,0.013894680000000003,0.046779645708738826,3.872105395392282
76733.452,76733.452,76731.51595293717,76735.38804706284,0.013894650000000003,0.04963501858583186,3.8720941256615333
76733.5815,76733.5815,76731.64545575251,76735.51754424749,0.013894650000000003,0.051434375753160566,3.8720884949725587
76733.78699999998,76733.78699999998,76731.85092377214,76735.72307622782,0.013894610000000003,0.054289734456688166,3.87215245567495
76733.9925,76733.9925,76732.05642631915,76735.92857368084,0.013894560000000004,0.05714507668744773,3.872147361689713
76733.992,76733.992,76732.05592940642,76735.92807059358,0.013837620000000004,0.057138015516102314,3.8721411871665623
76733.9925,76733.9925,76732.06004918292,76735.92495081706,0.013315200000000003,0.057143628277117386,3.8649016341369133
76733.9925,76733.9925,76732.09280026003,76735.89219973996,0.013315170000000003,0.057143628189805895,3.7993994799326174
76733.9925,76733.9925,76732.09280211678,76735.89219788321,0.013315110000000003,0.05714362804428674,3.7993957664293703
76733.992,76733.992,76732.09230583042,76735.89169416958,0.013315090000000003,0.05713697044120636,3.7993883391609415
76733.99149999999,76733.99149999999,76732.09180706825,76735.89119293173,0.013315070000000004,0.057130312867229804,3.7993858634727076
76733.992,76733.992,76732.09230830615,76735.89169169385,0.013315070000000004,0.05713697041210253,3.799383387697162
76733.992,76733.992,76732.09174528705,76735.89225471295,0.013315010000000004,0.05713697028113529,3.800509425898781
76733.992,76733.992,76732.09174597773,76735.89225402227,0.011289170000000005,0.05713291860593017,3.800508044543676
76733.992,76733.992,76732.20950920884,76735.77449079115,0.008889170000000005,0.057128118598484434,3.564981582312612
76733.9925,76733.9925,76732.33615797624,76735.64884202374,0.008889170000000005,0.057132563189952634,3.3126840475015342
76733.9925,76733.9925,76732.33607985466,76735.64892014532,0.008889170000000005,0.057132563189952634,3.3128402906586416
76733.992,76733.992,76732.34324228697,76735.64075771303,0.008889170000000005,0.057128118598484434,3.29751542606391
76733.9915,76733.9915,76732.3427457511,76735.64025424891,0.008889170000000005,0.05712367402156815,3.2975084978097584
76733.9915,76733.9915,76732.46277348702,76735.52022651299,0.008889170000000005,0.05712367402156815,3.0574530259764288
76733.992,76733.992,76732.46327882036,76735.52072117964,0.008889170000000005,0.057128118598484434,3.057442359277047
76733.992,76733.992,76732.46146019154,76735.52253980846,0.008889170000000005,0.057128118598484434,3.061079616920324
76733.9915,76733.9915,76732.46096284852,76735.52203715149,0.008889170000000005,0.05712367402156815,3.0610743029683363
76733.9915,76733.9915,76732.46096949093,76735.52203050908,0.008889170000000005,0.05712367402156815,3.0610610181465745
76733.99149999999,76733.99149999999,76732.46253640985,76735.52046359013,0.008889170000000005,0.05712367402156815,3.0579271802853327
76733.9915,76733.9915,76732.46253994736,76735.52046005265,0.008889170000000005,0.05712367402156815,3.057920105289668
76733.9915,76733.9915,76732.46254127393,76735.52045872608,0.008889170000000005,0.05712367402156815,3.0579174521553796
76733.9915,76733.9915,76732.46294608717,76735.52005391284,0.008889170000000005,0.05712367402156815,3.057107825676212
76733.99149999999,76733.99149999999,76732.46295184018,76735.5200481598,0.008889170000000005,0.05712367402156815,3.05709631962236
76733.99149999999,76733.99149999999,76732.46295184018,76735.5200481598,0.008889170000000005,0.05712367402156815,3.05709631962236
76733.99149999999,76733.99149999999,76732.46295274647,76735.5200472535,0.008889170000000005,0.05712367402156815,3.0570945070357993
76733.9915,76733.9915,76732.4681934664,76735.51480653361,0.008889170000000005,0.05712367402156815,3.0466130672139116
76733.9915,76733.9915,76732.49271640259,76735.49028359742,0.008889170000000005,0.05712367402156815,2.9975671948341187
76733.99149999999,76733.99149999999,76732.49865440541,76735.48434559457,0.008889170000000005,0.05712367402156815,2.9856911891547497
76733.99149999999,76733.99149999999,76732.84543653499,76735.13756346499,0.008889170000000005,0.05712367402156815,2.2921269299986307
76733.99100000001,76733.99100000001,76732.85912166788,76735.12287833214,0.008889170000000005,0.05711922943009995,2.2637566642661113
76733.99100000001,76733.99100000001,76732.86353202665,76735.11846797337,0.008889170000000005,0.05711922943009995,2.2549359467229806
76733.991,76733.991,76732.86353918034,76735.11846081965,0.008889170000000005,0.05711922943009995,2.254921639309032
76733.991,76733.991,76732.86353775093,76735.11846224905,0.008889170000000005,0.05711922943009995,2.25492449812009
76733.991,76733.991,76732.86353918034,76735.11846081965,0.008889170000000005,0.05711922943009995,2.254921639309032
76733.9905,76733.9905,76733.05674609165,76734.92425390835,0.008889170000000005,0.057114784853183664,1.8675078166997992
76733.9905,76733.9905,76733.11311694505,76734.86788305495,0.008889170000000005,0.057114784853183664,1.7547661098942626
76733.9905,76733.9905,76733.12994217944,76734.85105782056,0.008889170000000005,0.057114784853183664,1.721115641121287
76733.9905,76733.9905,76733.12994217944,76734.85105782056,0.008889170000000005,0.057114784853183664,1.721115641121287
76733.99049999999,76733.99049999999,76733.12994104491,76734.85105895506,0.008889170000000005,0.057114784853183664,1.7211179101432208
76733.99100000001,76733.99100000001,76733.13043991041,76734.8515600896,0.008889170000000005,0.05711922943009995,1.7211201791942585
76733.9915,76733.9915,76733.12832523561,76734.8546747644,0.008889170000000005,0.05712367402156815,1.7263495287916157
76733.9915,76733.9915,76733.07870365941,76734.9042963406,0.008889170000000005,0.05712367402156815,1.8255926811834797
76733.9915,76733.9915,76733.13198839393,76734.85101160608,0.008889170000000005,0.05712367402156815,1.719023212150205
76733.99149999999,76733.99149999999,76733.1435276259,76734.83947237408,0.008889170000000005,0.05712367402156815,1.69594474817859
76733.99149999999,76733.99149999999,76733.19572237838,76734.7872776216,0.008889170000000005,0.05712367402156815,1.5915552432124969
76733.99100000001,76733.99100000001,76733.19521514523,76734.78678485479,0.008889170000000005,0.05711922943009995,1.5915697095624637
76733.991,76733.991,76733.19521448766,76734.78678551233,0.008889170000000005,0.05711922943009995,1.5915710246772505
76733.99100000001,76733.99100000001,76732.32775763857,76735.65424236144,0.008889170000000005,0.05711922943009995,3.3264847228711005
76733.9915,76733.9915,76732.20022130763,76735.78277869237,0.008889170000000005,0.05712367402156815,3.58255738473963
76733.9915,76733.9915,76732.20253180087,76735.78046819914,0.008889170000000005,0.05712367402156815,3.5779363982728682
76733.9915,76733.9915,76732.20273688792,76735.78026311209,0.008889170000000005,0.05712367402156815,3.577526224165922
76733.9915,76733.9915,76732.20464943686,76735.77835056315,0.008889170000000005,0.05712367402156815,3.5737011262972374
76733.99149999999,76733.99149999999,76732.20464914008,76735.7783508599,0.008889170000000005,0.05712367402156815,3.573701719811652
76733.99149999999,76733.99149999999,76732.20464888042,76735.77835111956,0.008889170000000005,0.05712367402156815,3.5737022391404025
76733.9915,76733.9915,76732.20443851565,76735.77856148436,0.008889170000000005,0.05712367402156815,3.5741229687118903
76733.9915,76733.9915,76732.20443847866,76735.77856152135,0.008889170000000005,0.05712367402156815,3.5741230426938273
76733.992,76733.992,76732.16537478859,76735.81862521141,0.008889170000000005,0.057128118598484434,3.6532504228234757
76733.992,76733.992,76732.16595947384,76735.81804052615,0.008889170000000005,0.057128118598484434,3.6520810523070395
76733.9925,76733.9925,76732.17238432242,76735.81261567757,0.008889170000000005,0.057132563189952634,3.640231355151627
76733.9925,76733.9925,76732.18619057929,76735.7988094207,0.008889170000000005,0.057132563189952634,3.6126188414054923
76733.99250000001,76733.99250000001,76732.19070139526,76735.79429860476,0.008889170000000005,0.057132563189952634,3.6035972094978206
76733.99299999999,76733.99299999999,76732.20282322972,76735.78317677026,0.008889170000000005,0.057137007781420834,3.580353540543001
76733.99299999999,76733.99299999999,76732.22916576847,76735.7568342315,0.008889170000000005,0.057137007781420834,3.5276684630371165
